Concelho,Neighboring_Concelhos
Proença-a-Nova,"['Castelo Branco', 'Oleiros', 'Sertã', 'Vila Velha de Ródão', 'Mação']"
Sertã,"['Oleiros', 'Proença-a-Nova', 'Vila de Rei', 'Pampilhosa da Serra', 'Figueiró dos Vinhos', 'Pedrógão Grande', 'Ferreira do Zêzere', 'Mação']"
Vila de Rei,"['Sertã', 'Abrantes', 'Ferreira do Zêzere', 'Mação', 'Sardoal', 'Tomar']"
Vila Velha de Ródão,"['Castelo Branco', 'Proença-a-Nova', 'Nisa', 'Mação']"
Arganil,"['Covilhã', 'Góis', 'Lousã', 'Oliveira do Hospital', 'Pampilhosa da Serra', 'Penacova', 'Tábua', 'Vila Nova de Poiares', 'Seia']"
Cantanhede,"['Anadia', 'Mealhada', 'Oliveira do Bairro', 'Vagos', 'Coimbra', 'Figueira da Foz', 'Mira', 'Montemor-o-Velho']"
Coimbra,"['Mealhada', 'Cantanhede', 'Condeixa-a-Nova', 'Miranda do Corvo', 'Montemor-o-Velho', 'Penacova', 'Vila Nova de Poiares']"
Condeixa-a-Nova,"['Coimbra', 'Miranda do Corvo', 'Montemor-o-Velho', 'Penela', 'Soure']"
Figueira da Foz,"['Cantanhede', 'Montemor-o-Velho', 'Soure', 'Pombal']"
Góis,"['Arganil', 'Lousã', 'Pampilhosa da Serra', 'Castanheira de Pêra', 'Pedrógão Grande']"
Lousã,"['Arganil', 'Góis', 'Miranda do Corvo', 'Vila Nova de Poiares', 'Castanheira de Pêra', 'Figueiró dos Vinhos']"
Mira,"['Vagos', 'Cantanhede']"
Miranda do Corvo,"['Coimbra', 'Condeixa-a-Nova', 'Lousã', 'Penela', 'Vila Nova de Poiares', 'Figueiró dos Vinhos']"
Montemor-o-Velho,"['Cantanhede', 'Coimbra', 'Condeixa-a-Nova', 'Figueira da Foz', 'Soure']"
Oliveira do Hospital,"['Arganil', 'Tábua', 'Seia', 'Carregal do Sal', 'Nelas']"
Pampilhosa da Serra,"['Covilhã', 'Fundão', 'Oleiros', 'Sertã', 'Arganil', 'Góis', 'Pedrógão Grande']"
Penacova,"['Mealhada', 'Arganil', 'Coimbra', 'Tábua', 'Vila Nova de Poiares', 'Mortágua', 'Santa Comba Dão']"
Penela,"['Condeixa-a-Nova', 'Miranda do Corvo', 'Soure', 'Ansião', 'Figueiró dos Vinhos']"
Soure,"['Condeixa-a-Nova', 'Figueira da Foz', 'Montemor-o-Velho', 'Penela', 'Ansião', 'Pombal']"
